"organism","assembly ","NCBI taxid","status",""
"Amyelois transitella","GCF_001186105.1","680683","done","6-letter prefix: amytra"
"Zeugodacus cucurbitae","GCF_000806345.1","28588","",""
"Bactrocera dorsalis","GCF_000789215.1","27457","",""
"Bemisia tabaci","GCF_001854935.1","","",""
"Bombus terrestris","GCF_000214255.1","","",""
"Cephus cinctus","GCF_000341935.1","","",""
"Chelonus insularis","GCF_013357705.1","","",""
"Clitarchus hookeri","GCA_002778355.1","","",""
"Contarinia nasturtii","GCF_009176525.2","","",""
"Dufourea novaeangliae","GCF_001272555.1","","",""
"Ephemera danica","GCA_000507165.2","","",""
"Eufriesea mexicana","GCF_001483705.1","","",""
"Euglossa dilemma","GCA_002201625.1","","",""
"Fopius arisanus","GCF_000806365.1","","",""
"Frankliniella occidentalis","GCA_000697945.4","","",""
"Galleria mellonella","GCF_003640425.2","","",""
"Habropoda laboriosa","GCF_001263275.1","","",""
"Halyomorpha halys","GCA_000696795.3","","",""
"Heliothis virescens","GCA_002382865.1","","",""
"Holacanthella duospinosa","GCA_002738285.1","","",""
"Hyalella azteca","GCA_000764305.3","","",""
"Lasioglossum albipes","GCA_000346575.1","","",""
"Leptinotarsa decemlineata","GCF_000500325.1","","",""
"Mayetiola destructor","GCA_000149185.1","","",""
"Medauroidea extradentata","GCA_003012365.1","","",""
"Megachile rotundata","GCF_000220905.1","","",""
"Melipona quadrifasciata","GCA_001276565.1","","",""
"Microplitis demolitor","GCF_000572035.2","","",""
"Nicrophorus vespilloides","GCF_001412225.1","","",""
"Nylanderia fulva","GCF_005281655.1","","",""
"Odontomachus brunneus","GCF_010583005.1","","",""
"Osmia lignaria","GCF_012274295.1","","",""
"Tribolium castaneum","GCF_000002335.3","","",""
"Varroa destructor","GCF_002443255.1","","",""
"Varroa jacobsoni","GCF_002532875.1","","",""
"Drosophila biarmipes","GCF_000233415.1","","",""
"Drosophila bipectinata","GCF_000236285.1","","",""
"Drosophila elegans","GCF_000224195.1","","",""
"Drosophila eugracilis","GCF_000236325.1","","",""
"Drosophila ficusphila","GCF_000220665.1","","",""
"Drosophila kikkawai","GCF_000224215.1","","",""
"Drosophila rhopaloa","GCF_000236305.1","","",""
"Drosophila takahashii","GCF_000224235.1","","",""
"Diaphorina citri","GCF_000475195.1","","",""
